iter	Passed	Remaining
0	157	47090
1	167	24907
2	175	17380
3	183	13578
4	190	11242
5	199	9771
6	206	8659
7	214	7834
8	221	7164
9	229	6661
10	236	6210
11	244	5866
12	250	5536
13	258	5273
14	265	5036
15	271	4819
16	279	4645
17	286	4482
18	294	4349
19	300	4211
20	308	4093
21	315	3985
22	321	3877
23	329	3784
24	335	3685
25	342	3606
26	348	3522
27	355	3449
28	360	3371
29	366	3296
30	372	3236
31	378	3165
32	383	3104
33	390	3051
34	395	2993
35	400	2936
36	408	2903
37	414	2855
38	419	2804
39	424	2757
40	428	2707
41	432	2658
42	437	2617
43	441	2570
44	445	2524
45	449	2481
46	453	2443
47	457	2403
48	461	2363
49	465	2325
50	469	2293
51	473	2258
52	477	2223
53	480	2189
54	484	2157
55	488	2127
56	491	2095
57	495	2065
58	498	2035
59	502	2011
60	506	1984
61	509	1956
62	512	1928
63	515	1902
64	520	1882
65	523	1857
66	527	1832
67	529	1808
68	532	1784
69	536	1762
70	539	1741
71	542	1718
72	545	1696
73	548	1675
74	552	1658
75	561	1654
76	565	1637
77	571	1627
78	577	1614
79	581	1599
80	586	1584
81	590	1568
82	593	1552
83	597	1537
84	602	1523
85	606	1508
86	609	1493
87	613	1478
88	618	1467
89	623	1454
90	626	1439
91	632	1428
92	636	1416
93	639	1402
94	643	1389
95	648	1378
96	652	1364
97	655	1352
98	659	1338
99	662	1325
100	666	1313
101	670	1301
102	673	1288
103	677	1276
104	681	1265
105	685	1254
106	688	1241
107	691	1229
108	695	1218
109	699	1208
110	703	1198
111	707	1186
112	710	1175
113	714	1166
114	718	1155
115	721	1144
116	724	1132
117	727	1121
118	731	1112
119	734	1101
120	737	1090
121	740	1079
122	742	1069
123	747	1060
124	750	1050
125	752	1039
126	755	1029
127	758	1019
128	762	1010
129	765	1001
130	768	991
131	771	981
132	774	972
133	777	963
134	781	954
135	783	945
136	786	936
137	789	926
138	792	918
139	796	910
140	799	901
141	802	892
142	805	883
143	807	875
144	812	868
145	816	860
146	818	852
147	821	844
148	824	835
149	828	828
150	832	821
151	835	813
152	838	805
153	840	797
154	845	790
155	848	782
156	851	775
157	854	767
158	856	759
159	860	753
160	863	745
161	866	738
162	869	730
163	872	723
164	875	716
165	879	709
166	882	702
167	884	695
168	887	688
169	890	680
170	894	674
171	897	667
172	899	660
173	902	653
174	905	646
175	909	640
176	912	634
177	915	627
178	918	620
179	921	614
180	924	608
181	928	601
182	931	595
183	934	589
184	937	582
185	942	577
186	945	571
187	948	564
188	951	558
189	954	552
190	958	546
191	961	540
192	963	534
193	966	528
194	969	522
195	973	516
196	976	510
197	979	504
198	982	498
199	985	492
200	989	487
201	992	481
202	995	475
203	998	469
204	1001	464
205	1004	458
206	1008	452
207	1010	447
208	1013	441
209	1016	435
210	1019	430
211	1023	425
212	1026	419
213	1029	413
214	1032	408
215	1035	402
216	1038	397
217	1042	392
218	1045	386
219	1048	381
220	1052	376
221	1055	371
222	1059	365
223	1062	360
224	1065	355
225	1068	349
226	1072	344
227	1075	339
228	1078	334
229	1081	329
230	1084	323
231	1088	319
232	1091	313
233	1094	308
234	1097	303
235	1100	298
236	1104	293
237	1107	288
238	1110	283
239	1113	278
240	1117	273
241	1121	268
242	1124	263
243	1127	258
244	1130	253
245	1134	248
246	1138	244
247	1141	239
248	1144	234
249	1148	229
250	1151	224
251	1155	220
252	1158	215
253	1161	210
254	1164	205
255	1168	200
256	1172	196
257	1175	191
258	1177	186
259	1180	181
260	1184	176
261	1187	172
262	1190	167
263	1193	162
264	1197	158
265	1201	153
266	1204	148
267	1207	144
268	1210	139
269	1213	134
270	1216	130
271	1220	125
272	1223	121
273	1226	116
274	1229	111
275	1232	107
276	1236	102
277	1239	98
278	1242	93
279	1245	88
280	1248	84
281	1252	79
282	1256	75
283	1259	70
284	1262	66
285	1265	61
286	1269	57
287	1272	53
288	1275	48
289	1278	44
290	1281	39
291	1285	35
292	1288	30
293	1290	26
294	1293	21
295	1296	17
296	1300	13
297	1303	8
298	1306	4
299	1309	0
